Occupation,Category,Women average annual salary (£),Men average annual salary (£),Pay gap (£),Pay gap as a percentage
IT directors,senior managers & execs,63328,60215,-3113,-4.92%
Bank managers,senior managers & execs,37129,63133,26004,70.04%
Financial managers,senior managers & execs,41662,66000,24338,58.42%
Sales directors,senior managers & execs,58125,69417,11292,19.43%
CEOs,senior managers & execs,59048,86551,27503,46.58%
Business & research,senior managers & execs,31623,40579,8956,28.32%
Business analysts,senior managers & execs,33555,40599,7044,20.99%
Economists,senior managers & execs,42405,44133,1728,4.07%
Valuers & assessors,senior managers & execs,21883,29872,7989,36.51%
All occupations average,,24369,29846,5477,24.72%
